,Index,Highest Charting Position,Number of Times Charted,Song Name,Artist,Artist Followers,Song ID,Duration (ms)
0,1,1,8,Beggin',Måneskin,3377762,3Wrjm47oTz2sjIgck11l5e,211560
1,2,2,3,STAY (with Justin Bieber),The Kid LAROI,2230022,5HCyWlXZPP0y6Gqq8TgA20,141806
2,3,1,11,good 4 u,Olivia Rodrigo,6266514,4ZtFanR9U6ndgddUvNcjcG,178147
3,4,3,5,Bad Habits,Ed Sheeran,83293380,6PQ88X9TkUIAUIZJHW2upE,231041
4,5,5,1,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5473565,27NovPIUIRrOZoCHxABJwK,212000
5,6,1,18,MONTERO (Call Me By Your Name),Lil Nas X,5473565,67BtfxlNbhBmCDR2L2l8qd,137876
6,7,3,16,Kiss Me More (feat. SZA),Doja Cat,8640063,748mdHapucXQri7IAO8yFK,208867
7,8,2,10,Todo De Ti,Rauw Alejandro,6080597,4fSIb4hdOQ151TILNsSEaF,199604
8,9,3,8,Yonaguni,Bad Bunny,36142273,2JPLbjOn0wPCngEot2STUS,206710
9,10,8,10,I WANNA BE YOUR SLAVE,Måneskin,3377762,4pt5fDVTg5GhEvEtlz9dKk,173347
10,11,4,43,Levitating (feat. DaBaby),Dua Lipa,27142474,463CkQjx2Zk1yXoBuierM9,203064
11,12,9,9,Qué Más Pues?,"J Balvin, Maria Becerra",29051363,6hf0RpxTbOprT5nnwzkk8e,217773
12,13,5,3,Permission to Dance,BTS,37106176,0LThjFY2iTtNdd4wviwVV2,187585
13,14,1,19,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,48504126,4iJyoBOLtHqaGxP12qzhQI,198082
14,15,2,10,Butter,BTS,37106176,2bgTY4UwhfBYhGT4HUYStN,164442
15,16,7,10,traitor,Olivia Rodrigo,6266514,5CZ40GBx1sQ9agT82CLQCT,229227
16,17,3,17,deja vu,Olivia Rodrigo,6266514,6HU7h9RYOaPRFeh0R3UeAr,215507
17,18,5,14,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,35305637,37BZB0z9T8Xu7U3e65qxFy,191014
18,19,14,5,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",2123734,05bfbizlM5AX6Mf1RRyMho,261335
19,20,20,7,Need To Know,Doja Cat,8640063,3Vi5XqYrmQgOYBajMWSvCi,210560
20,21,19,3,Volando - Remix,"Mora, Bad Bunny, Sech",151486,0G2zPzWqVjR68iNPmx2TBe,273474
21,22,22,5,Ain't Shit,Doja Cat,8640063,5lAnYvAIkSDNXqfo7DyFUm,174253
22,23,1,29,drivers license,Olivia Rodrigo,6266514,5wANPM4fQCJwkGd4rN57mH,242013
23,24,24,31,Heat Waves,Glass Animals,1890510,3USxtqRwSYz57Ewm6wWRMp,238805
24,25,1,83,Blinding Lights,The Weeknd,35305637,0VjIjW4GlUZAMYd2vXMi3b,200040
25,26,12,10,happier,Olivia Rodrigo,6266514,2tGvwE8GcFKwNdAXMnlbfl,175933
26,27,27,3,Pepas,Farruko,10502148,5fwSHlTEWpluwOM0Sxnh5k,287120
27,28,18,3,Motley Crew,Post Malone,33651775,40uMIn2zJLAQhNXghRjBed,184213
28,29,15,23,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",83689,4cG7HUWYHBV6R6tHn1gxrl,169153
29,30,3,28,Astronaut In The Ocean,Masked Wolf,365975,3Ofmpyhv5UAQ70mENzB277,132780
30,31,5,21,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",32574754,7MAibcTli4IisCtbHKrGMh,242096
31,32,32,1,Don't Go Yet,Camila Cabello,22683756,1058fW9H3fZA6QjYCdOBad,164842
32,33,11,10,favorite crime,Olivia Rodrigo,6266514,5JCoSi02qi3jJeHdZXMmR8,152667
33,34,10,15,Pareja Del Año,"Sebastian Yatra, Myke Towers",16216789,2rCbl9naJYhaxjLsfx88uM,195053
34,35,4,83,Watermelon Sugar,Harry Styles,16112621,6UelLqGlWMcVH1E5c4H7lY,174000
