,Id,TotalMinutesAsleep,SleepDay,Date,WeightKg,BMI,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,Calories
30,1503960366,327,4/12/2016 12:00:00 AM,5/2/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
61,1503960366,327,4/12/2016 12:00:00 AM,5/3/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
92,1503960366,384,4/13/2016 12:00:00 AM,5/2/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
123,1503960366,384,4/13/2016 12:00:00 AM,5/3/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
154,1503960366,412,4/15/2016 12:00:00 AM,5/2/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
185,1503960366,412,4/15/2016 12:00:00 AM,5/3/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
216,1503960366,340,4/16/2016 12:00:00 AM,5/2/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
247,1503960366,340,4/16/2016 12:00:00 AM,5/3/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
278,1503960366,700,4/17/2016 12:00:00 AM,5/2/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
309,1503960366,700,4/17/2016 12:00:00 AM,5/3/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
340,1503960366,304,4/19/2016 12:00:00 AM,5/2/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
371,1503960366,304,4/19/2016 12:00:00 AM,5/3/2016 11:59:59 PM,52.5999984741211,22.6499996185303,5/12/2016,0,0.0,0.0,0.0,0.0,0.0,0
